Absorb|əbˈzɔrb|v.|1 incorporate as part of itself or oneself. 2 take in, suck up (liquid, heat, knowledge, etc.). 3 reduce the effect or intensity of; deal easily with (an impact, sound, difficulty, etc.). 4 consume (resources etc.). 5 (often as absorbing adj.) Engross the attention of. [latin sorbeo suck in]
Abuse|əˈbjus|—v. (-sing)|1 use improperly, misuse. 2 insult verbally. 3 maltreat. —n. 1 misuse. 2 insulting language. 3 unjust or corrupt practice. 4 maltreatment (child abuse).  abuser n. [latin: related to *use]
Academic|ˌæk·əˈdem·ɪk|—adj.|1 scholarly, of learning. 2 of no practical relevance; theoretical. —n. Teacher or scholar in a university etc.  academically adv.
Accent|ˈæk·sent|—n.|1 particular (esp. Local or national) mode of pronunciation. 2 distinctive feature or emphasis (accent on speed). 3 prominence given to a syllable by stress or pitch. 4 mark on a letter or word to indicate pitch, stress, or vowel quality. —v. 1 emphasize (a word or syllable etc.). 2 write or print accents on (words etc.). 3 accentuate. [latin cantus song]
Acceptable|əkˈsep·tə·bəl|adj.|1 worth accepting, welcome. 2 tolerable.  acceptability n. Acceptably adv. [french: related to *accept]
Accept|əkˈsept|v.|1 (also absol.) Willingly receive (a thing offered). 2 (also absol.) Answer affirmatively (an offer etc.). 3 regard favourably; treat as welcome (felt accepted). 4 believe, receive (an opinion, explanation, etc.) As adequate or valid. 5 take as suitable (does accept cheques). 6 undertake (an office or duty). [latin capio take]
Access|ˈæk·ses|—n.|1 way of approach or entry (shop with rear access). 2 a right or opportunity to reach or use or visit; admittance (access to secret files, to the prisoner). B accessibility. 3 archaic outburst (an access of anger). —v. 1 computing gain access to (data etc.). 2 accession. [french: related to *accede]
Accidental|ˌæk·sɪˈden·t̬əl|—adj.|Happening by chance or accident. —n. Mus. Sign indicating a note's momentary departure from the key signature.  accidentally adv.
Accident|ˈæk·sə·dənt|n.|1 unfortunate esp. Harmful event, caused unintentionally. 2 event that is unexpected or without apparent cause.  by accident unintentionally. [latin cado fall]
Accommodation|əˌkɑ·məˈdeɪ·ʃən|n.|1 lodgings. 2 adjustment, adaptation. 3 convenient arrangement; settlement, compromise.
Accompany|əˈkʌm·pə·ni|v. (-ies, -ied)|1 go with; escort. 2 (usu. In passive; foll. By with, by) be done or found with; supplement. 3 mus. Partner with accompaniment. [french: related to *companion]
Account|əˈkɑʊnt|—n.|1 narration, description (an account of his trip). 2 arrangement at a bank etc. For depositing and withdrawing money, credit, etc. (open an account). 3 record or statement of financial transactions with the balance (kept detailed accounts). —v. Consider as (account him wise, a fool).
Accurate|ˈæk·jər·ət|adj.|Careful, precise; conforming exactly with the truth or a standard.  accurately adv.
Accuse|əˈkjuz|v. (-sing)|(often foll. By of) charge with a fault or crime; blame. [latin accusare: related to *cause]
Achievement|əˈtʃiv·mənt|n.|1 something achieved. 2 act of achieving.
Achieve|əˈtʃiv|v. (-ving)|1 reach or attain, esp. By effort (achieved victory; achieved notoriety). 2 accomplish (a feat or task). [french achever: related to *chief]
Acid|ˈæs·ɪd|—n.|1 a any of a class of substances that liberate hydrogen ions in water, are usu. Sour and corrosive, turn litmus red, and have a ph of less than 7. B any compound or atom donating protons. 2 any sour substance. 3 slang the drug lsd. —adj. 1 sour. 2 biting, sharp (an acid wit). 3 chem. Having the essential properties of an acid.  acidic adj. Acidify v. (-ies, -ied). Acidity n. Acidly adv. [latin aceo be sour]
Acknowledge|əkˈnɑ·lɪdʒ|v. (-ging)|1 recognize; accept the truth of (acknowledged its failure). 2 confirm the receipt of (a letter etc.). 3 a show that one has noticed (acknowledged my arrival with a grunt). B express appreciation of (a service etc.). 4 recognize the validity of, own (the acknowledged king). [from *ad-, *knowledge]
Acme|ˈæk.mi|n.|Highest point (of achievement etc.). [greek]
Acquire|əˈkwɑɪər|v. (-ring)|gain for oneself; come into possession of. [latin: related to *ad-, quaero quisit- seek]
Across|əˈkrɔs|—prep.|1 to or on the other side of (across the river). 2 from one side to another side of (spread across the floor). 3 at or forming an angle with (a stripe across the flag). —adv. 1 to or on the other side (ran across). 2 from one side to another (stretched across).  across the board applying to all. [french à, en, croix: related to *cross]
Action|ˈæk·ʃən|n.|1 process of doing or acting (demanded action). 2 forcefulness or energy. 3 exertion of energy or influence (action of acid on metal). 4 deed, act (not aware of his actions). 5 (the action) a series of events in a story, play, etc. B slang exciting activity (missed the action). 6 battle, fighting (killed in action). 7 a mechanism of an instrument. B style of movement of an animal or human. 8 lawsuit.  out of action not working. [latin: related to *act]
Active|ˈæk·tɪv|—adj.|1 marked by action; energetic; diligent (an active life). 2 working, operative (active volcano). 3 not merely passive or inert; positive (active support; active ingredients). 4 radioactive. 5 gram. Designating the form of a verb whose subject performs the action (e.g. Saw in he saw a film). —n. Gram. Active form or voice of a verb.  actively adv. [latin: related to *act]
Activity|ækˈtɪv·ə·t̬i|n. (pl. -ies)|1 being active; busy or energetic action. 2 (often in pl.) Occupation or pursuit (outdoor activities). 3 = *radioactivity.
Act|ækt|—n.|1 something done; a deed. 2 process of doing (caught in the act). 3 item of entertainment. 4 pretence (all an act). 5 main division of a play etc. 6 a decree of a legislative body. B document attesting a legal transaction. —v. 1 behave (acted wisely). 2 perform an action or function; take action (act as referee; brakes failed to act; he acted quickly). 3 (also foll. By on) have an effect (alcohol acts on the brain). 4 a perform a part in a play, film, etc. B pretend. 5 a play the part of (acted othello; acts the fool). B perform (a play etc.). C portray (an incident) by actions.  act for be the (esp. Legal) representative of. Act of god natural event, e.g. An earthquake. Act up colloq. Misbehave; give trouble (car is acting up). Get one's act together slang become properly organized; prepare. Put on an act colloq. Make a pretence. [latin ago act- do]
Actor|ˈæk·tər|n.|Person who acts in a play, film, etc. [latin: related to *act]
Actress|ˈæk·trəs|n.|Female actor.
Actual|ˈæk·tʃu·əl|adj. (usu. Attrib.)|1 existing in fact; real. 2 current. [latin: related to *act]
Actually|ˈæk·tʃu·ə·li|adv.|1 as a fact, really (not actually very rich). 2 strange as it may seem (he actually refused!).
Ad|æd|abbr.|Of the christian era. [*anno domini]
Adapt|əˈdæpt|v.|1 a (foll. By to) fit, adjust (one thing to another). B (foll. By to, for) make suitable for a purpose. C modify (esp. A text for broadcasting etc.). 2 (also refl., usu. Foll. By to) adjust to new conditions.  adaptable adj. Adaptation n. [latin: related to *ad-, *apt]
Additional|əˈdɪʃ·ə·nəl|adj.|Added, extra, supplementary.  additionally adv.
Addition|əˈdɪʃ·ən|n.|1 adding. 2 person or thing added.  in addition (often foll. By to) also, as well (as). [latin: related to *add]
Address|əˈdres|—n.|1 a place where a person lives or an organization is situated. B particulars of this, esp. For postal purposes. C computing location of an item of stored information. 2 discourse to an audience. —v. 1 write postal directions on (an envelope etc.). 2 direct (remarks etc.). 3 speak or write to, esp. Formally. 4 direct one's attention to. 5 golf take aim at (the ball).  address oneself to 1 speak or write to. 2 attend to. [french: related to *ad-, *direct]
Add|æd|v.|1 join (one thing to another) as an increase or supplement. 2 put together (numbers) to find their total. 3 say further.  add in include. Add up 1 find the total of. 2 (foll. By to) amount to. 3 colloq. Make sense. [latin addo]
Adequate|ˈæd·ɪ·kwət|adj.|Sufficient, satisfactory.  adequacy n. Adequately adv. [latin: related to *ad-, *equate]
Adjust|əˈdʒʌst|v.|1 order or position; regulate; arrange. 2 (usu. Foll. By to) become or make suited; adapt. 3 harmonize (discrepancies). 4 assess (loss or damages).  adjustable adj. Adjustment n. [latin juxta near]
Admiration|ˌæd·məˈreɪ·ʃən|n.|1 respect; warm approval or pleasure. 2 object of this.
Admire|ədˈmɑɪər|v. (-ring)|1 regard with approval, respect, or satisfaction. 2 express admiration of.  admirer n. Admiring adj. Admirlingly adv. [latin: related to *ad-, miror wonder at]
Admit|ədˈmɪt|v. (-tt-)|1 (often foll. By to be, or that + clause) acknowledge; recognize as true. 2 (foll. By to) confess to (a deed, fault, etc.). 3 allow (a person) entrance, access, etc. 4 take (a patient) into hospital. 5 (of an enclosed space) accommodate. 6 (foll. By of) allow as possible. [latin mitto miss- send]
Ad|æd|n.|Colloq. Advertisement. [abbreviation]
Adopt|əˈdɑpt|v.|1 legally take (a person) into a relationship, esp. Another's child as one's own. 2 choose (a course of action etc.). 3 take over (another's idea etc.). 4 choose as a candidate for office. 5 accept responsibility for the maintenance of (a road etc.). 6 accept or approve (a report, accounts, etc.).  adoption n. [latin: related to *ad-, *opt]
Adult|əˈdʌlt|—adj.|1 mature, grown-up. 2 (attrib.) Of or for adults (adult education). —n. Adult person.  adulthood n. [latin adolesco adultus grow up]
Advance|ədˈvæns|—v. (-cing)|1 move or put forward; progress. 2 pay or lend (money) beforehand. 3 promote (a person, cause, etc.). 4 present (a suggestion etc.). 5 (as advanced adj.) A well ahead. B socially progressive. —n. 1 going forward; progress. 2 prepayment; loan. 3 (in pl.) Amorous approaches. 4 rise in price. —attrib. Adj. Done or supplied beforehand (advance warning).  advance on approach threateningly. In advance ahead in place or time. [latin: related to *ab-, ante before]
Advantage|ədˈvæn·t̬ɪdʒ|—n.|1 beneficial feature. 2 benefit, profit. 3 (often foll. By over) superiority. 4 (in tennis) the next point after deuce. —v. (-ging) benefit, favour.  take advantage of 1 make good use of. 2 exploit, esp. Unfairly. 3 euphem. Seduce.  advantageous adj. [french: related to *advance]
Adventure|ədˈven·tʃər|—n.|1 unusual and exciting experience. 2 enterprise (spirit of adventure). —v. (-ring) dare, venture; engage in adventure. [latin: related to *advent]
Advertisement|ˌæd·vərˈtɑɪz·mənt|n.|1 public announcement, esp. Of goods etc. For sale or wanted, vacancies, etc. 2 advertising. [french avertissement: related to *adverse]
Advertise|ˈæd·vərˌtɑɪz|v. (-sing)|1 promote (goods or services) publicly to increase sales. 2 make generally known. 3 (often foll. By for) seek by a notice in a newspaper etc. To buy, employ, sell, etc. [french avertir: related to *adverse]
Advert|ˈæd·vɜrt|n.|Colloq. Advertisement. [abbreviation]
Advice|ədˈvɑɪs|n.|1 recommendation on how to act. 2 information given; news. 3 formal notice of a transaction.
Advise|ədˈvɑɪz|v. (-sing)|1 (also absol.) Give advice to. 2 recommend (advised me to rest). 3 (usu. Foll. By of, or that + clause) inform. [latin: related to *ad-, video vis- see]
Affair|əˈfeər|n.|1 matter, concern, or thing to be attended to (that is my affair). 2 a celebrated or notorious happening. B colloq. Thing or event (puzzling affair). 3 = *love affair. 4 (in pl.) Public or private business. [french à faire to do]
Affection|əˈfek·ʃən|n.|1 goodwill, fond feeling. 2 disease; diseased condition.
Affect|əˈfekt|v.|1 a produce an effect on. B (of disease etc.) Attack. 2 move emotionally. 3 pretend (affected ignorance). 4 pose as or use for effect (affects the aesthete; affects fancy hats).  affecting adj. Affectingly adv. [latin afficio affect- influence]
Afford|əˈfɔrd|v.|1 (prec. By can or be able to) a have enough money, time, etc., for; be able to spare. B be in a position (can't afford to be critical). 2 provide (affords a view of the sea). [old english ge- prefix implying completeness, *forth]
Afraid|əˈfreɪd|predic.|Adj. Alarmed, frightened.  be afraid colloq. Politely regret (i'm afraid we're late). [originally past part. Of *affray]
Afternoon|ˌæf·tərˈnun|n.|Time from noon or lunch-time to evening.
After|ˈæf·tər|—prep.|1 following in time; later than (after a week). 2 in view of, in spite of (after what you did what do you expect?; after all my efforts i still lost). 3 behind (shut the door after you). 4 in pursuit or quest of (run after them). 5 about, concerning (asked after her). 6 in allusion to (named after the prince). 7 in imitation of (a painting after rubens). 8 next in importance to (best one after mine). —conj. Later than (left after they arrived). —adv. 1 later (soon after). 2 behind (followed on after). —adj. 1 later, following (in after years). 2 naut. Nearer the stern (after cabins).  after all in spite of everything (after all, what does it matter?). After one's own heart to one's taste. [old english]
Afterwards|ˈɑːf·tə·wəd|adv. (us afterward)|later, subsequently. [old english: related to *after, *-ward]
Again|əˈɡen|adv.|1 another time; once more. 2 as previously (home again; well again). 3 in addition (as much again). 4 further, besides (again, what about you?). 5 on the other hand (i might, and again i might not).  again and again repeatedly. [old english]
Against|əˈɡenst|prep.|1 in opposition to (fight against crime). 2 into collision or in contact with (lean against the wall). 3 to the disadvantage of (my age is against me). 4 in contrast to (against a dark background). 5 in anticipation of (against his coming; against the cold). 6 as a compensating factor to (income against expenditure). 7 in return for (issued against payment of the fee).  against the grain see *grain. Against time see *time. [from *again, with inflectional -s]
Aged|eɪdʒd|adj.|1  (predic.) Of the age of (aged 3). 2  old.
Age|eɪdʒ|—n.|1 length of time that a person or thing has existed. 2 a colloq. (often in pl.) A long time (waited for ages). B distinct historical period (bronze age). 3 old age. —v. (ageing) 1 show or cause to show signs of advancing age. 2 grow old. 3 mature.  come of age reach adult status (esp. Law at 18, formerly 21). [latin aetas]
Agency|ˈeɪ·dʒən·si|n. (pl. -ies)|1 business or premises of an agent. 2 action; intervention (free agency; by the agency of god). [latin: related to *act]
Agent|ˈeɪ·dʒənt|n.|1 a person who acts for another in business etc. B spy. 2 person or thing that exerts power or produces an effect.
Aggressive|əˈɡres·ɪv|adj.|1 given to aggression; hostile. 2 forceful, self-assertive.  aggressively adv.
Ago|əˈɡoʊ|adv. (prec. By duration)|earlier, in the past. [originally agone = gone by]
Agreement|əˈɡri·mənt|n.|1 act or state of agreeing. 2 arrangement or contract.
Agree|əˈɡri|v. (-ees, -eed, -eeing)|1 hold the same opinion (i agree with you). 2 consent (agreed to go). 3 (often foll. By with) a become or be in harmony. B suit (fish didn't agree with him). C gram. Have the same number, gender, case, or person as. 4 reach agreement about (agreed a price). 5 (foll. By on) decide mutually on (agreed on a compromise).  be agreed be of one opinion. [latin: related to *ad-, gratus pleasing]
Ahead|əˈhed|adv.|1 further forward in space or time. 2 in the lead (ahead on points).
Aid|eɪd|abbr.|Artificial insemination by donor.
Aid|eɪd|—n.|1 help. 2 person or thing that helps. —v. 1 help. 2 promote (sleep will aid recovery).  in aid of 1 in support of. 2 colloq. For the purpose of (what's it all in aid of?). [latin: related to *ad-, juvo help]
Aim|eɪm|—v.|1 intend or try; attempt (aim at winning; aim to win). 2 (usu. Foll. By at) direct or point (a weapon, remark, etc.). 3 take aim. —n. 1 purpose or object. 2 the directing of a weapon etc. At an object.  take aim direct a weapon etc. At a target. [latin aestimare reckon]
Aircraft|ˈeərˌkræft|n. (pl. Same)|machine capable of flight, esp. An aeroplane or helicopter.
Air|eər|—n.|1 mixture mainly of oxygen and nitrogen surrounding the earth. 2 earth's atmosphere; open space in it; this as a place for flying aircraft. 3 a distinctive impression or manner (air of mystery). B (esp. In pl.) Pretentiousness (gave himself airs). 4 tune. 5 light wind. —v. 1 expose (clothes, a room, etc.) To fresh air or warmth to remove damp. 2 express and discuss publicly (an opinion, question, grievance, etc.).  by air by or in an aircraft. In the air 1 (of opinions etc.) Prevalent. 2 (of plans etc.) Uncertain. On (or off) the air being (or not being) broadcast. [greek aer]
Airport|ˈeərˌpɔrt|n.|Airfield with facilities for passengers and goods.
Alarm|əˈlɑrm|—n.|1 warning of danger etc. 2 a warning sound or device. B = *alarm clock. 3 apprehension (filled with alarm). —v. 1 frighten or disturb. 2 warn.  alarming adj. Alarmingly adv. [italian all'arme! To arms]
Alcoholic|ˌæl·kəˈhɔ·lɪk|—adj.|Of, like, containing, or caused by alcohol. —n. Person suffering from alcoholism.
Alcohol|ˈæl·kəˌhɔl|n.|1 (in full ethyl alcohol) colourless volatile inflammable liquid, esp. As the intoxicant in wine, beer, spirits, etc., and as a solvent, fuel, etc. 2 liquor containing this. 3 chem. Any of many organic compounds containing one or more hydroxyl groups attached to carbon atoms. [arabic: related to *kohl]
Alive|əˈlɑɪv|adj. (usu. Predic.)|1 living. 2 lively, active. 3 (foll. By to) aware of; alert. 4 (foll. By with) swarming or teeming with. [old english: related to *a2, *life]
All|ɔl|—adj.|1 whole amount, quantity, or extent of (all day; all his life; take it all). 2 any whatever (beyond all doubt). 3 greatest possible (with all speed). —n. 1 all concerned; everything (all were present; all is lost). 2 (foll. By of) a the whole of (take all of it). B every one of (all of us). C colloq. As much as (all of six feet). D colloq. In a state of (all of a dither). 3 one's whole strength or resources (prec. By my, your, etc.). 4 (in games) each (two goals all). —adv. 1 a entirely, quite (dressed all in black). B as an intensifier (stop all this grumbling). 2 colloq. Very (went all shy). 3 (foll. By the + compar.) To that, or the utmost, extent (if they go, all the better; that makes it all the worse).  all along from the beginning. All and sundry everyone. All but very nearly. All for colloq. Strongly in favour of. All found with board and lodging provided free. All in colloq. Exhausted. All in all everything considered. All manner of every kind of. All of a sudden suddenly. All one (or the same) (usu. Foll. By to) a matter of indifference. All out using all one's strength (also (with hyphen) attrib.: all-out effort). All over 1 completely finished. 2 in or on all parts of (mud all over the carpet). 3 colloq. Typically (you all over). 4 slang effusively attentive to (a person). All right (predic.) 1 satisfactory; safe and sound; in good condition. 2 satisfactorily (it worked out all right). 3 a expressing consent. B as an intensifier (that's the one all right). All round 1 in all respects. 2 for each person. All the same nevertheless. All there colloq. Mentally alert or normal. All the time throughout (despite some contrary expectation etc.). All together all at once; all in one place or in a group (came all together) (cf. *altogether). All up with hopeless for (a person). At all (with neg. Or interrog.) In any way; to any extent (did not swim at all; did you like it at all?). In all in total; altogether. [old english]
Allied|əˈlaɪd|adj.|1 (also allied) associated in an alliance. 2 connected or related.
Allow|əˈlɑʊ|v.|1 (often foll. By to + infin.) Permit. 2 assign a limited amount etc. (was allowed £500). 3 (usu. Foll. By for) provide or set aside for a purpose; add or deduct in consideration (allow £50 for expenses; allow for wastage). [originally = commend, from french: related to *ad-, latin laudo praise, loco place]
Ally|ˈæl·ɑɪ|—n. (pl. -ies)|state, person, etc., formally cooperating or united with another, esp. (also ally) in war. —v. Also (-ies, -ied) (often refl. And foll. By with) combine in alliance. [latin alligo bind]
Almost|ˈɔlˌmoʊst|adv.|All but; very nearly. [old english: related to *all, *most]
Alms||n.pl.|Hist. Donation of money or food to the poor. [greek eleemosune pity]
Alone|əˈloʊn|—predic.|Adj. 1 without the presence or help of others. 2 lonely (felt alone). —adv. Only, exclusively. [earlier al one: related to *all, *one]
Along|əˈlɔŋ|—prep.|Beside or through (part of) the length of. —adv. 1 onward, into a more advanced state (come along; getting along nicely). 2 with oneself or others (bring a book along). 3 beside or through part or the whole length of a thing.  along with in addition to; together with. [old english, originally adj. = facing against]
Alongside|əˈlɔŋˌsɑɪd|—adv.|At or to the side. —prep. Close to the side of.
Aloud|əˈlɑʊd|adv.|Audibly.
Alphabet|ˈæl·fəˌbet|n.|1 set of letters used in writing a language. 2 symbols or signs for these.  alphabetical adj. [greek *alpha, *beta]
Already|ɔlˈred·i|adv.|1 before the time in question (i knew that already). 2 as early or as soon as this (is back already). [from *all, *ready]
Also|ˈɔl·soʊ|adv.|In addition, besides. [old english: related to *all, *so1]
Alternative|ɔlˈtɜr·nə·t̬ɪv|—adj.|1 available as another choice (alternative route). 2 unconventional (alternative medicine). —n. 1 any of two or more possibilities. 2 choice (had no alternative but to go).  alternatively adv.
Alter|ˈɔl·tər|v.|Make or become different; change.  alteration n. [latin alter other]
Although|ɔlˈðoʊ|conj.|= *though. [from *all, *though]
Altogether|ˌɔl·təˈɡeð·ər|adv.|1 totally, completely. 2 on the whole. 3 in total.  in the altogether colloq. Naked. [from *all, *together]
Always|ˈɔl·weɪz|adv.|1 at all times; on all occasions. 2 whatever the circumstances. 3 repeatedly, often. [from *all, *way]
A.m.|æm|Abbr.|Before noon. [latin ante meridiem]
Amaze|əˈmeɪz|v. (-zing)|surprise greatly, fill with wonder.  amazement n. Amazing adj. [earlier amase from old english amasod]
Ambition|æmˈbɪʃ·ən|n.|1 determination to succeed. 2 object of this. [latin, = canvassing: related to *ambience]
Ambulance|ˈæm·bjə·ləns|n.|1 vehicle equipped for conveying patients to hospital. 2 mobile hospital serving an army. [latin: related to *amble]
Ammo|ˈæm.oʊ|n.|Slang ammunition. [abbreviation]
Among|əˈmʌŋ|prep. (also amongst)|1 surrounded by, with (lived among the trees; be among friends). 2 included in (among us were dissidents). 3 in the category of (among his best works). 4 a between; shared by (divide it among you). B from the joint resources of (among us we can manage it). 5 with one another (talked among themselves). [old english, = in a crowd]
Amount|əˈmɑʊnt|—n.|Quantity, esp. A total in number, size, value, extent, etc. —v. (foll. By to) be equivalent to in number, significance, etc. [latin ad montem upward]
Amuse|əˈmjuz|v. (-sing)|1 cause to laugh or smile. 2 interest or occupy.  amusing adj. [french a cause to, muser stare]
Analyse||v. (us analyze)|(-sing or -zing) 1 examine in detail; ascertain the constituents of (a substance, sentence, etc.). 2 psychoanalyse.
Analysis|əˈnæl·ə·sɪs|n. (pl. -lyses)|1 a detailed examination of elements or structure. B statement of the result of this. 2 chem. Determination of the constituent parts of a mixture or compound. 3 psychoanalysis. [greek ana up, luo loose]
Ancient|ˈeɪn·ʃənt|adj.|1 of long ago, esp. Before the fall of the roman empire in the west. 2 having lived or existed long.  the ancients people of ancient times, esp. The greeks and romans. [latin ante before]
And|ænd|conj.|1 a connecting words, clauses, or sentences, to be taken jointly (you and i). B implying progression (better and better). C implying causation (she hit him and he cried). D implying great duration (cried and cried). E implying a great number (miles and miles). F implying addition (two and two). G implying variety (there are books and books). 2 colloq. To (try and come). 3 in relation to (britain and the ec).  and/or either or both of two stated alternatives. [old english]
Anger|ˈæŋ·ɡər|—n.|Extreme or passionate displeasure. —v. Make angry. [old norse angr grief]
Angle|ˈæŋ·ɡəl|n. (usu. In pl.)|Member of a n. German tribe that settled in e. Britain in the 5th c. [latin anglus, from the name angul in germany]
Angry|ˈæŋ·ɡri|adj. (-ier, -iest)|1 feeling, showing, or suggesting anger (angry sky). 2 (of a wound etc.) Inflamed, painful.  angrily adv.
Animal|ˈæn·ə·məl|—n.|1 living organism, esp. Other than man, which feeds and usu. Has sense-organs and a nervous system and can move quickly. 2 brutish person. —adj. 1 of or like an animal. 2 bestial; carnal. [latin animalis having breath]
Ankle|ˈæŋ·kəl|n.|1 joint connecting the foot with the leg. 2 this part of the leg. [old norse]
Anniversary|ˌæn·əˈvɜr·sər·i|n. (pl. -ies)|1 date of an event in a previous year. 2 celebration of this. [latin annus year, verto vers- turn]
Announce|əˈnɑʊns|v. (-cing)|1 make publicly known. 2 make known the arrival or imminence of (a guest, dinner, etc.). 3 be a sign of.  announcement n. [latin nuntius messenger]
Annoy|əˈnɔɪ|v.|1 (often in passive) anger or distress slightly (am annoyed with you). 2 molest, harass.  annoyance n. [latin in odio hateful]
Annual|ˈæn·ju·əl|—adj.|1 reckoned by the year. 2 occurring yearly. 3 living or lasting (only) a year. —n. 1 book etc. Published yearly. 2 plant that lives only a year.  annually adv. [latin annus year]
Another|əˈnʌð·ər|—adj.|1 an additional; one more (another cake). 2 person like (another hitler). 3 a different (another matter). 4 some other (another man's work). —pron. Additional, other, or different person or thing. [earlier an other]
Answer|ˈæn·sər|—n.|1 something said or done in reaction to a question, statement, or circumstance. 2 solution to a problem. —v. 1 make an answer or response (to) (answer the door). 2 suit (a purpose or need). 3 (foll. By to, for) be responsible (you will answer to me for your conduct). 4 (foll. By to) correspond, esp. To a description.  answer back answer insolently. [old english, = swear against (a charge)]
Anticipate|ænˈtɪs·əˌpeɪt|v. (-ting)|1 deal with or use before the proper time. 2 expect, foresee (did not anticipate a problem). 3 forestall (a person or thing). 4 look forward to.  anticipation n. Anticipatory adj. [latin anti- before, capio take]
Anti-|ˌæn·t̬i|prefix|1 opposed to (anticlerical). 2 preventing (antifreeze). 3 opposite of (anticlimax). 4 unconventional (anti-hero). [greek]
Anxiety|æŋˈzɑɪ·ɪ·t̬i|n. (pl. -ies)|1 being anxious. 2 worry or concern. 3 eagerness, troubled desire. [latin anxietas from ango choke]
Anxious|ˈæŋk·ʃəs|adj.|1 mentally troubled. 2 causing or marked by anxiety (anxious moment). 3 eager, uneasily wanting (anxious to please).  anxiously adv. [latin anxius]
Any|ˈen·i|—adj.|1 a one, no matter which, of several (cannot find any answer). B some, no matter how much or many or of what sort (if any books arrive; have you any sugar?). 2 a minimal amount of (hardly any difference). 3 whichever is chosen (any fool knows). 4 an appreciable or significant (did not stay for any length of time; has any amount of money). —pron. 1 any one (did not know any of them). 2 any number or amount (are any of them yours?). —adv. (usu. With neg. Or interrog.) At all (is that any good?). [old english ænig: related to *one, *-y1]
Anybody|ˈen·iˌbɑ·di|n.|& pron. 1 any person. 2 person of importance (is he anybody?).
Anyone|ˈen·iˌwʌn|pron.|Anybody.
Anything|ˈen·iˌθɪŋ|pron.|Any thing; thing of any sort.  anything but not at all.
Anyway|ˈen·iˌweɪ|adv.|1 in any way or manner. 2 at any rate. 3 to resume (anyway, as i was saying).
Anywhere|ˈen·iˌhweər|—adv.|In or to any place. —pron. Any place (anywhere will do).
Apart|əˈpɑrt|adv.|1 separately, not together (keep your feet apart). 2 into pieces (came apart). 3 to or on one side. 4 to or at a distance.  apart from 1 excepting, not considering. 2 in addition to (apart from roses we grow irises). [french à part to one side]
Apartment|əˈpɑrt·mənt|n.|1 (in pl.) Suite of rooms. 2 single room. 3 us flat. [italian a parte, apart]
Apologize|əˈpɑ·ləˌdʒɑɪz|v. (also -ise)|(-zing or -sing) make an apology, express regret.
Apparent|əˈpær·ənt|adj.|1 readily visible; obvious. 2 seeming.  apparently adv. [latin: related to *appear]
